movie_id,title,cast,crew
950387,A Minecraft Movie,"['Jason Momoa', 'Jack Black', 'Sebastian Eugene Hansen', 'Emma Myers', 'Danielle Brooks', 'Jennifer Coolidge', 'Rachel House', 'Allan Henry', 'Bram Scott-Breheny', 'Moana Williams']","['Producer: Roy Lee', 'Director: Jared Hess', 'Producer: Mary Parent', 'Producer: Vu Bui', 'Producer: Jason Momoa', 'Producer: Torfi Frans Ólafsson', 'Producer: Cale Boyter', 'Producer: Jill Messick', 'Producer: Jon Berg']"
1195430,Deva,"['Shahid Kapoor', 'Pooja Hegde', 'Pavail Gulati', 'Pravessh Rana', 'Girish Kulkarni', 'Kubbra Sait', 'Sahidur Rahaman', 'Meenal Sahu', 'Shivraj Walvekar', 'Upendra Limaye']","['Director: Rosshan Andrrews', 'Producer: Siddharth Roy Kapur', 'Writer: Sumit Arora', 'Writer: Arshad Syed', 'Writer: Hussain Dalal', 'Writer: Abbas Dalal', 'Producer: Umesh Bansal']"
1229730,Carjackers,"['Zoé Marchal', 'Franck Gastambide', 'Bosh', 'Mareva Ranarivelo', 'Alassane Diong', 'Sérigne Gueye', 'Mylène Jampanoï', 'Alix Bénézech', 'Hafid F. Benamar', 'Zoé Diowo-Ceccaldi']",['Director: Kamel Guemra']
822119,Captain America: Brave New World,"['Anthony Mackie', 'Harrison Ford', 'Danny Ramirez', 'Shira Haas', 'Tim Blake Nelson', 'Carl Lumbly', 'Giancarlo Esposito', 'Liv Tyler', 'Xosha Roquemore', 'Jóhannes Haukur Jóhannesson']","['Producer: Kevin Feige', 'Director: Julius Onah', 'Producer: Nate Moore']"
1125899,Cleaner,"['Daisy Ridley', 'Clive Owen', 'Taz Skylar', 'Flavia Watson', 'Ray Fearon', 'Rufus Jones', 'Richard Hope', 'Lee Boardman', 'Stella Stocker', 'Atanas Srebrev']","['Producer: Callum Grant', 'Writer: Matthew Orton', 'Writer: Simon Uttley', 'Writer: Paul Andrew Williams', 'Producer: Thomas Fanning', 'Producer: Gavin Glendinning', 'Producer: Michael Kuhn', 'Producer: Cindy Cowan', 'Producer: Sebastien Raybaud', 'Director: Martin Campbell']"
324544,In the Lost Lands,"['Milla Jovovich', 'Dave Bautista', 'Arly Jover', 'Amara Okereke', 'Fraser James', 'Deirdre Mullins', 'Sebastian Stankiewicz', 'Tue Lunding', 'Jacek Dzisiewicz', 'Ian Hanmore']","['Producer: Constantin Werner', 'Director: Paul W. S. Anderson', 'Producer: Jeremy Bolt', 'Producer: Jonathan Meisner', 'Producer: Paul W. S. Anderson', 'Producer: Milla Jovovich', 'Producer: Dave Bautista']"
1252309,Ask Me What You Want,"['Gabriela Andrada', 'Mario Ermito', 'Celia Freijeiro', 'David Solans', 'Alba Ribas', 'Joel Bosqued', 'Alicia Bercan', 'Anna Karinvinge', 'Fernando Oyagüez', 'Paco Tous']",['Director: Lucía Alemany']
1197306,A Working Man,"['Jason Statham', 'David Harbour', 'Michael Peña', 'Jason Flemyng', 'Arianna Rivas', 'Noemi Gonzalez', 'Emmett Scanlan', 'Eve Mauro', 'Maximilian Osinski', 'Kristina Poli']","['Producer: Sylvester Stallone', 'Director: David Ayer', 'Producer: David Ayer', 'Producer: Jason Statham', 'Producer: Chris Long', 'Producer: John Friedberg', 'Producer: Bill Block', 'Producer: Kevin King']"
696506,Mickey 17,"['Robert Pattinson', 'Naomi Ackie', 'Steven Yeun', 'Mark Ruffalo', 'Toni Collette', 'Anamaria Vartolomei', 'Daniel Henshall', 'Patsy Ferran', 'Steve Park', 'Tim Key']","['Director: Bong Joon Ho', 'Producer: Dooho Choi', 'Producer: Bong Joon Ho', 'Producer: Dede Gardner', 'Producer: Jeremy Kleiner', 'Writer: Bong Joon Ho']"
1195585,The Hard Hit,"['Brian Ronan Mulroy', 'Jamie Ohlsen', 'Malachi Durant', 'Rob LaColla Jr.', 'Trae Ireland', 'Jerry G. Angelo', 'Richard T. Jones', 'Markice Moore', 'Florence Ordesh', 'Aubrey Trujillo']","['Director: Darien Smith', 'Producer: Darien Smith', 'Writer: Darien Smith', 'Director: Omie Blue', 'Writer: Matthew Gonzales', 'Producer: Jamie Ohlsen', 'Writer: Levi Gordon']"
